"Отметка времени"	"1. Ваш вік "	"2. Ваша стать"	"3.  В якому класі навчається Ваша дитина або Ваші діти (можна обрати кілька варіантів відповідей)? "	"4. Зазначте свою область проживання"	"5.  У якому населеному пункті розташований Ваш заклад освіти   "	"6.       Оберіть тип Вашого закладу освіти "	"7.  Зазначте форму власності Вашого закладу освіти "	"8. В якому форматі працює Ваш заклад освіти? "	"9. У скільки змін організовано навчання?"	"10. Яку освітню платформу  або інформаційно-комунікаційну систему використовує Ваш заклад освіти для управління освітнім процесом та комунікації з батьками? "	"Якщо зазначили ""Інше"", то напишіть яку саме  систему"	"11.Які  інформаційно-комунікаційні сервіси використовує Ваш заклад освіти для організації навчання  в очному чи в змішаному форматі? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть який саме сервіс"	"12. Чи задоволені ви технічною підтримкою (допомогою в разі технічних проблем), яку надає заклад освіти для використання освітньої платформи?"	"13. Чи маєте Ви доступ до електронного журналу та щоденника?"	"14. Чи сайт Вашого закладу освіти містить актуальну та корисну для батьків інформацію?"	"15. Зазначте позиції, які містить сайт Вашого закладу освіти (можна вибрати декілька варіантів відповідей):"	"16. За допомогою яких комунікаційних сервісів або соціальних мереж Ви спілкуєтесь з класним керівником Вашої дитини? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть що саме використовуєте"	"17. Чи налагоджений зворотній зв’язок з іншими вчителями?"	"18. Чи практикує Ваш заклад освіти опитування батьків щодо якості організації освітнього процесу?"	"19. Чи має Ваша дитина належні навички для самостійного використання цифрових ресурсів у навчанні?"	"20. Наскільки самостійно навчається Ваша дитина під час дистанційного та змішаного формату навчання?"	"21.Чи має Ваша дитина доступ до пристрою (комп'ютера, планшета) для навчання вдома?"	"22. Що, на Вашу думку, можна покращити в  інформаційно-цифровому середовищі Вашого закладу освіти? (опишіть, будь ласка, Ваші пропозиції)"
10/18/2024 8:20:17	"від 45 та старше"	"Жінка"	"9 клас"	"Харківська область"	"село"	"заклад загальної середньої освіти"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Єдина школа"		"Zoom, Інше"	"Google Meet"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	0
10/7/2024 18:26:43	"від 45 та старше"	"Жінка"	"9 клас"	"Донецька область"	"місто"	"заклад загальної середньої освіти"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно"	"Так"	0
10/8/2024 17:37:47	"від 27 до 35"	"Жінка"	"5 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Частково"	"Так"	"Частково"	"Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей"	"Viber"		"Частково"	"Так"	"Частково"	"Вчиться тільки з Вашою підтримкою"	"Так"	0
10/8/2024 22:03:43	"від 35 до 45"	"Жінка"	"4 клас, 7 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom, Zoom"		"Частково"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber"		"Частково"	"Так"	"Так"	"Займається з репетиторами додатково"	"Так"	0
10/8/2024 12:06:20	"від 35 до 45"	"Чоловік"	"6 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Google classroom"		"Частково"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Частково"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	1
10/8/2024 14:42:43	"від 45 та старше"	"Чоловік"	"3 клас, 8 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom"		"Так"	"Так"	"Частково"	"Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Facebook, Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	1
10/8/2024 16:12:10	"від 27 до 35"	"Жінка"	"6 клас, 9 клас"	"Київська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Human школа"		"Інше"		"Так"	"Ні"	"Сайт не працює"	"Нічого з вищезазначеного"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	1
10/9/2024 7:20:11	"від 35 до 45"	"Жінка"	"5 клас, 8 клас"	"Миколаївська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Нові знання"		"Google classroom, Zoom"		"Так"	"Ні"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Viber"		"Частково"	"Ні"	"Так"	"Займається з репетиторами додатково"	"Так"	1
10/9/2024 12:49:01	"від 27 до 35"	"Жінка"	"4 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	1
10/14/2024 18:59:55	"від 45 та старше"	"Жінка"	"8 клас"	"Кіровоградська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Єдина школа"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Зворотній зв’язок"	"Viber"		"Ні"	"Ні"	"Частково"	"Займається з репетиторами додатково"	"Так"	1
10/15/2024 8:14:50	"від 45 та старше"	"Жінка"	"8 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Human школа"		"Zoom"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	1
10/7/2024 17:55:46	"від 45 та старше"	"Жінка"	"8 клас"	"Одеська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Zoom"		"Частково"	"Так"	"Сайт не працює"	"Нічого з вищезазначеного"	"Viber"		"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	111
10/8/2024 18:33:55	"від 35 до 45"	"Чоловік"	"9 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"		"Google classroom, Zoom"		"Так"	"Так"	"Частково"	"Нічого з вищезазначеного"	"Viber, Telegram"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	123
10/9/2024 14:07:12	"від 35 до 45"	"Жінка"	"11 клас"	"Одеська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Частково"	"Ні"	"Сайт не працює"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Facebook, Viber, TikTok, Instagram"		"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	777
10/9/2024 14:06:46	"від 27 до 35"	"Жінка"	"2 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Не знаю"		"Google classroom"		"Частково"	"Ні"	"Частково"	"Посилання на електронні підручники та навчальні матеріали, Зворотній зв’язок"	"Viber"		"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"'-"
10/8/2024 9:01:33	"від 35 до 45"	"Жінка"	"4 клас, 10 клас"	"Дніпропетровська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Єдина школа"	"-"	"Google classroom, Zoom"	"-"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/8/2024 10:45:12	"від 35 до 45"	"Жінка"	"11 клас"	"Харківська область"	"смт"	"заклад загальної середньої освіти"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber, Telegram"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/8/2024 11:19:56	"від 27 до 35"	"Жінка"	"4 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/8/2024 16:27:39	"від 27 до 35"	"Жінка"	"11 клас"	"Одеська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/8/2024 17:03:03	"від 45 та старше"	"Жінка"	"7 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/8/2024 17:05:56	"від 45 та старше"	"Жінка"	"8 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/8/2024 18:17:41	"від 35 до 45"	"Жінка"	"5 клас, 7 клас"	"Харківська область"	"село"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom, Zoom"	"-"	"Ні, така підтримка не надається"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Поради щодо психологічної підтримки дітей"	"Viber"	"-"	"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/9/2024 8:56:01	"від 45 та старше"	"Жінка"	"10 клас"	"Черкаська область"	"місто"	"гімназія"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"	"-"	"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Зворотній зв’язок"	"Viber"	"-"	"Ні"	"Ні"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/9/2024 9:50:53	"від 35 до 45"	"Жінка"	"7 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom, Zoom"	"-"	"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"	"-"	"Частково"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/9/2024 12:55:10	"від 35 до 45"	"Жінка"	"3 клас, 8 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"	"-"	"Zoom"	"-"	"Частково"	"Ні"	"Так"	"Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Частково (пристрій доступний не завжди)"	"-"
10/9/2024 16:45:20	"від 35 до 45"	"Жінка"	"9 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"	"-"	"Zoom"	"-"	"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/9/2024 16:47:53	"від 35 до 45"	"Жінка"	"8 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Мій клас"	"-"	"Zoom"	"-"	"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"	"-"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/14/2024 15:57:48	"від 35 до 45"	"Жінка"	"5 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Human школа"	"-"	"Google classroom, Zoom"	"-"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Зворотній зв’язок"	"Viber"	"-"	"Так"	"Так"	"Так"	"Вчиться тільки з Вашою підтримкою"	"Так"	"-"
10/16/2024 11:01:30	"від 35 до 45"	"Жінка"	"1 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"	"-"	"Google classroom"	"-"	"Ні, така підтримка не надається"	"Ні"	"Частково"	"Зворотній зв’язок"	"Viber"	"-"	"Ні"	"Ні"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/9/2024 7:30:27	"від 35 до 45"	"Жінка"	"6 клас, 11 клас"	"Київська область"	"село"	"заклад загальної середньої освіти"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Human школа"	"-"	"Google classroom, Інше"	"Google meet "	"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber, Telegram"	"-"	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
